data_extracao,arquivo,numero_registros,tamanho_mib,nome_base,camada,dominio,formato,porte_arquivo,registros_por_mib,ano_extracao,mes_extracao
2025-12-29 03:29:46,raw_sim_declaracao_obito.parquet,24670230,1214.52,raw_sim_declaracao_obito,raw,sim_declaracao_obito,.parquet,grande,20312.74,2025,12
2025-12-06 16:57:09,raw_sim_declaracao_obito.parquet,23138215,1124.01,raw_sim_declaracao_obito,raw,sim_declaracao_obito,.parquet,grande,20585.42,2025,12
2025-12-06 16:57:09,raw_inca_registro_hospitalar.parquet,5399686,111.66,raw_inca_registro_hospitalar,raw,inca_registro_hospitalar,.parquet,medio,48358.28,2025,12
2026-01-20 03:00:06,raw_painel_de_oncologia.parquet,5327425,108.02,raw_painel_de_oncologia,raw,painel_de_oncologia,.parquet,medio,49318.88,2026,1
2025-12-06 16:57:09,raw_painel_de_oncologia.parquet,5227873,106.07,raw_painel_de_oncologia,raw,painel_de_oncologia,.parquet,medio,49287.01,2025,12
2025-12-23 03:00:05,raw_painel_de_oncologia.parquet,5227873,106.08,raw_painel_de_oncologia,raw,painel_de_oncologia,.parquet,medio,49282.36,2025,12
2025-12-06 16:57:09,raw_inca_cancer_populacional.parquet,2368916,48.15,raw_inca_cancer_populacional,raw,inca_cancer_populacional,.parquet,pequeno,49198.67,2025,12
2025-12-06 16:57:09,raw_sim_declaracao_obito_prelim.parquet,1527369,87.87,raw_sim_declaracao_obito_prelim,raw,sim_declaracao_obito_prelim,.parquet,pequeno,17382.14,2025,12
2026-02-13 03:00:07,raw_cnes_estabelecimentos.parquet,601940,68.61,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8773.36,2026,2
2026-02-12 03:00:07,raw_cnes_estabelecimentos.parquet,601824,68.57,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8776.78,2026,2
2026-02-08 03:00:07,raw_cnes_estabelecimentos.parquet,601103,68.51,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8773.95,2026,2
2026-02-06 03:00:07,raw_cnes_estabelecimentos.parquet,600959,68.49,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8774.41,2026,2
2026-02-05 03:00:08,raw_cnes_estabelecimentos.parquet,600636,68.43,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8777.38,2026,2
2026-02-04 03:00:07,raw_cnes_estabelecimentos.parquet,600629,68.46,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8773.43,2026,2
2026-02-01 03:00:08,raw_cnes_estabelecimentos.parquet,600288,68.42,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8773.57,2026,2
2026-01-31 03:00:07,raw_cnes_estabelecimentos.parquet,600147,68.41,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8772.8,2026,1
2026-01-30 03:00:07,raw_cnes_estabelecimentos.parquet,600043,68.41,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8771.28,2026,1
2026-01-29 03:00:08,raw_cnes_estabelecimentos.parquet,599954,68.41,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8769.98,2026,1
2026-01-28 03:00:07,raw_cnes_estabelecimentos.parquet,599943,68.42,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8768.53,2026,1
2026-01-25 03:00:08,raw_cnes_estabelecimentos.parquet,599468,68.26,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8782.13,2026,1
2026-01-24 03:00:07,raw_cnes_estabelecimentos.parquet,599360,68.3,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8775.4,2026,1
2026-01-23 03:00:07,raw_cnes_estabelecimentos.parquet,599116,68.31,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8770.55,2026,1
2026-01-22 03:00:07,raw_cnes_estabelecimentos.parquet,598965,68.27,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8773.47,2026,1
2026-01-21 03:00:06,raw_cnes_estabelecimentos.parquet,598944,68.28,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8771.88,2026,1
2026-01-18 03:00:07,raw_cnes_estabelecimentos.parquet,598663,68.2,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8778.05,2026,1
2026-01-16 03:00:06,raw_cnes_estabelecimentos.parquet,598662,68.23,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8774.18,2026,1
2026-01-15 03:00:06,raw_cnes_estabelecimentos.parquet,598661,68.23,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8774.16,2026,1
2026-01-14 03:00:07,raw_cnes_estabelecimentos.parquet,598661,68.24,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8772.88,2026,1
2026-01-10 03:00:07,raw_cnes_estabelecimentos.parquet,598221,68.12,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8781.87,2026,1
2026-01-11 03:00:06,raw_cnes_estabelecimentos.parquet,598221,68.13,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8780.58,2026,1
2026-01-09 03:00:07,raw_cnes_estabelecimentos.parquet,598153,68.13,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8779.58,2026,1
